,Title,Release Year,Locations,Fun Facts,Director,Writer,Actor 1,Actor 2,Actor 3
1313,GirlBoss,2017,Filbert between Leavenworth and Hyde,,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon,Britt Robertson,Ellie Reed,Amanda Rea
1314,A Taiwanese Tale of Two Cities,2018,1653 Haight and 1400-1500 blocks of Haight St,,Tien-Lun Yeh,"Ling-Hui Chen, Nancy Chen, Chih-Chi Fan, Chia-Hui Lin",Tammy Cheng,Peggy Tseng,Shen-Hao Wen
1315,Godzilla,2014,Pine St. & Davis St,,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston
1316,San Andreas,2015,Fort Baker,,Brad Peyton,Allan Loeb,Dwayne Johnson,,
1317,Sweet November,2001,Marquee Lofts (1000 Van Ness Avenue at Alice B. Toklas Place),,Pat O'Connor,Paul Yurick,Keanu Reeves,Charlize Theron,
1318,Twisted,2004,Pier 24,,Philip Kaufman,Sarah Thorp,Ashley Judd,Samuel L. Jackson,
1319,Surface,2022,Ina Coolbrith Park (1700 Taylor Street),,"Sam Miller, Kevin Rodney Sullivan, Jennifer Morrison, Tucker Gates","Veronica West, Erica L. Anderson,Tony Saltzman, Glenise Mullins, Leigh Ann Biety, Dan Lee West, Leigh Ann Biety & Raven Jackson, Martín Zimmerman",Gugu Mbatha-Raw,Oliver Jackson-Cohen,Ari Graynor
1320,Mother,1996,Golden Gate Bridge,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Albert Brooks,Albert Brooks,Albert Brooks,Debbie Reynolds,
1321,Need For Speed,2014,California St from Taylor to Powell,,Scott Waugh,George Gatins,Aaron Paul,Dominic Cooper,Imogen Poots
1322,Bicentennial Man,1999,Golden Gate Bridge,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Chris Columbus,Nicholas Kazan,Robin Williams,,
1323,"Smile Again, Jenny Lee",2015,475 Diamond St.,,Carlo Caldana,Linda Demetrick,Craig Tsuyumine,Puneet Prasad,Larry Kitagawa
1324,Americana,2015,Bernal Heights Park,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote
1325,Foul Play,1978,Octavia & Hayes Streets (Hayes Valley),,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,Burgess Meredith
1326,"Looking ""Special""",2016,Point Lobos Avenue,,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett
1327,Chance Season 2,2017,Waller St between Masonic and Del Mar St,,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee
1328,180,2011,Epic Roasthouse (399 Embarcadero),,Jayendra,"Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba",Siddarth,Nithya Menon,Priya Anand
1329,The Princess Diaries,2001,Cliff House (1090 Point Lobos Avenue),"The Musee Mechanique, which Julie Andrews' character visits in the movie, was at the time housed under the Cliff House.",Garry Marshall,Gina Wendkos,Julie Andrews,Anne Hathway,
1330,Ant-Man and the Wasp,2018,Powell St btwn North Point and Embarcadero,Location of film headquarters,Peyton Reed,Chris McKenna,Paul Rudd,Evangeline Lilly,Michael Douglas
1331,The Presidio,1988,"Fort Point (Presidio, Golden Gate National Recreation Area)","Built in 1853, Fort Point is the only West Coast fort built by the Union Army. Though the Confederate army planned to attack San Francisco, the commanding Confederate general learned that the war had ended while end route to SF.",Peter Hyams,Larry Ferguson,Sean Connery,Mark Harmon,Meg Ryan
1332,Alcatraz,2012,Taylor St. from Broadway to Filbert,,J.J. Abrams,Steven Lilien,Sarah Jones,Jorge Garcia,
1333,Chef Dynasty: House of Fang,2022,Chinatown - Grant Avenue between California and Jackson St,,,,Lillian Phan,Long Vo,Christy-Anne Lopez
1334,Love & Taxes,2014,20 Hill Street,,Jacob Kornbluth,Jacob Kornbluth,Jacob Kornbluth,,
1335,"Murder in the First, Season 2",2015,Embarcadero Street at Washington Street,,Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale
1336,Freebie and the Bean,1974,Nob Hill,"Railroad tycoons like Leland Stanford (founder of Stanford University) lived in Nob Hill at the turn of the 20th Century. The 1906 earthquake completely destroyed Nob Hill, with the exception of the wall that surrounded the mansions of Stanford and his neighbor Mark Hopkins.",Richard Rush,Robert Kaufman,Alan Arkin,James Caan,Loretta Swit
1337,Jade,1995,Sheraton Palace Hotel (639 Market Street),"The hotel was destroyed in the 1906 earthquake and fire, had to be rebuilt, and was reopened in 1909.",William Friedkin,Joe Eszterhas,David Caruso,Linda Fiorentino,Chazz Palminteri
1338,Big Trouble in Little China,1986,,,John Carpenter,Gary Goldman,Kurt Russell,Kim Catrall,James Hong
1339,Looking,2014,Muni line N- Judah,,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett
1340,Invasion of the Body Snatchers,1978,720 Steiner Street (Hayes Valley),,Philip Kaufman,Jack Finney,Donald Sutherland,Jeff Goldblum,Brooke Adams
1341,Bullitt,1968,Taylor & Vallejo Streets (Russian Hill),,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,Robert Vaughn
1342,Looking Season 2 ep 203,2015,"Willy's Barber shop, 3227 22nd Street",,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett
1343,Getting Even with Dad,1994,140 Maiden Lane,,Howard Deutch,Tom S. Parker,Macaulay Culkin,Ted Danson,
1344,The Last Black Man in San Francisco,2019,Forest Hill MUNI Station,,Joe Talbot,"Joe Talbot, Jimmie Fails, Rob Richert",Jimmie Fails,Jonathan Majors,Danny Glover
1345,Looking,2014,Bay Bridge,,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett
1346,"Looking ""Special""",2016,San Francisco City Hall,,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett
1347,Super Pumped: The Battle for Uber,2022,Main Street between Harrison and Howard,,"Allen Coulter, Daniel Gray Longino, John Dahl, Zetna Fuentes","Brian Koppelman & David Levien, Sarah Acosta, Stephen Schiff, Emily Hornsby, Safie M. Dirie, Beth Schacter",Joseph Gordon-Levitt,Kyle Chandler,Kerry Bishé
1348,Invasion of the Body Snatchers,1978,"Postcard Row (Alamo Square, Hayes Valley)",The 6 Victorian homes across from Alamo Square Park are among the few Victorians to survive the Great Fire.,Philip Kaufman,Jack Finney,Donald Sutherland,Jeff Goldblum,Brooke Adams
1349,Pushing Dead,2016,"Mission Neibhrohood Health Cetner, 240 Shotweel Street",,Tom Brown,Tom Brown,Danny Glover,James Roday,Robin Weigert
1350,Freebie and the Bean,1974,"Fairmont Hotel (950 Mason Street, Nob Hill)","In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room.",Richard Rush,Robert Kaufman,Alan Arkin,James Caan,Loretta Swit
1351,A Jitney Elopement,1915,Golden Gate Park,"During San Francisco's Gold Rush era, the Park was part of an area designated as the ""Great Sand Waste"".",Charles Chaplin,Charles Chaplin,Charles Chaplin,Edna Purviance,
1352,The OA Part II,2019,Washington at Maple,,Zal Batmanglij,"Zal Batmanglij, Brit Marling",Brit Marling,Emory Cohen,Patrick Gibson
1353,"Smile Again, Jenny Lee",2015,Mason & Sacramento St,,Carlo Caldana,Linda Demetrick,Craig Tsuyumine,Puneet Prasad,Larry Kitagawa
1354,Sense8 - Season 2,2016,Castle between Union and Green,,Wachowski Siblings,"J. Michael Straczynski, Wachowiski Siblings",Jamie Clayton,Daryl Hannah,Naveen Andrews
1355,A Night Full of Rain,1978,San Francisco Chronicle (901 Mission Street at 15th Street),The San Francisco Zodiac Killer of the late 1960s sent his notes and letters to the Chronicle's offices.,Lina Wertmuller,Lina Wertmuller,Candice Bergen,Giancarlo Gianni,
1356,Milk,2008,Chinatown,"First established in the mid-19th Century, SF's Chinatown is the oldest and largest Chinatown in the US.",Gus Van Sant,Dustin Lance Black,Sean Penn,Emile Hirsch,
1357,Looking Season 2 ep 202,2015,901 Valencia Street,,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett
1358,Sister Act,1992,"St. Paul's Church (Church Street, Noe Valley)",,Emile Ardolino,Joseph Howard,Whoopi Goldberg,Maggie Smith,
1359,The Dead Pool,1988,Clementina & Sumner Streets,,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,Patricia Clarkson
1360,The Dead Pool,1988,"KGO-TV ABC7 TV Studios (900 Front Street, Waterfront Historic District)",,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,Patricia Clarkson
1361,The Conversation,1974,"Neiman Marcus (150 Stockton Street, Union Square)",In the film the City of Paris Department Store is featured. That establishment was located where Neiman Marcus stands today,Francis Ford Coppola,Francis Ford Coppola,Gene Hackman,John Cazale,Allen Garfield
1362,The Lineup,1958,Sutro Baths (Point Lobos Avenue),,Don Siegel,Stirling Silliphant,Eli Wallach,Robert Keith,Richard Jaeckel
1363,Dream with the Fishes,1997,Pier 39,,Finn Taylor,Finn Taylor & Jeffrey Brown,David Arquette,Brad Hunt,
1364,A Taiwanese Tale of Two Cities,2018,Texas St at 19th St,,Tien-Lun Yeh,"Ling-Hui Chen, Nancy Chen, Chih-Chi Fan, Chia-Hui Lin",Tammy Cheng,Peggy Tseng,Shen-Hao Wen
1365,Red Widow,2013,York & 24th St.,,Alon Aranya,Melissa Rosenberg,Radha Mitchell,Sterling Beaumon,Clifton Collins Jr.
1366,"Yours, Mine and Ours",1968,,,Melville Shavelson,"Bob Carroll, Jr.",Lucille Ball,Henry Fonda,Van Johnson
1367,The Matrix Resurrections,2021,150 California,,Lana Wachowski,"Lana Wachowski, David Mitchell, Aleksander Hemon",Keanu Reeves,Keanu Reeves,Neil Patrick Harris
1368,Dark Passage,1947,The Malloch Apartment Building (1360 Montgomery Street),,Delmer Daves,Delmer Daves & David Goodis,Humphrey Bogart,Lauren Bacal,Bruce Bennett
1369,The Phone/Jexi,2019,SF War Memorial Opera House,,"Jon Lucas, Scott Moore","Jon Lucas, Scott Moore",Adam Devine,Alexandra Shipp,Michael Pena
1370,Ant-Man and the Wasp: Quantumania,2023,Post between Leavenworth and Montgomery,,Peyton Reed,Jeff Loveness,Paul Rudd,Evangeline Lilly,Jonathan Majors
1371,George of the Jungle,1997,The Tamalpais Building (1201 Greenwich Street at Hyde),,Sam Weisman,Jay Ward,Brendan Fraser,Leslie Mann,
1372,Etruscan Smile,2017,Pier 39 San Francisco,,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch
1373,Nash Bridges,2021,Illinois Street at 20th Street,,Greg Beeman,"Carlton Cuse, Bill Chais",Don Johnson,Cheech Marin,Joe Dinicol
1374,Chance- Season 1 ep108,2016,Huntington Park,,Peter Elkoff and Victoria Morrow,Andrew Bernstein,Hugh Laurie,Gretchen Mol,Ethan Suplee
1375,Pacific Heights,1990,Chinatown,"First established in the mid-19th Century, SF's Chinatown is the oldest and largest Chinatown in the US.",John Schlesinger,Daniel Pyne,Melanie Griffith,Matthew Modine,
1376,Ant-Man,2015,601 Buena Vista Ave West at Java St.,,Peyton Reed,Gabriel Ferrari,Michael Douglas,Paul Rudd,
1377,Beautiful Boy,2018,Wisconsin between 19th and 20th St,,Felix van Groeningen,Luke Davies,Steve Carell,Timothee Chalamet,Maura Tierney
1378,Surface,2022,Baker Beach,,"Sam Miller, Kevin Rodney Sullivan, Jennifer Morrison, Tucker Gates","Veronica West, Erica L. Anderson,Tony Saltzman, Glenise Mullins, Leigh Ann Biety, Dan Lee West, Leigh Ann Biety & Raven Jackson, Martín Zimmerman",Gugu Mbatha-Raw,Oliver Jackson-Cohen,Ari Graynor
1379,The Bachelor,1999,Columbus Avenue at Green & Stockton,,Gary Sinyor,Steve Cohen,Chris O'Donnell,Renee Zellweger,
1380,Shang-Chi and the Legend of the Ten Rings,2021,"Bush between Hyde and Kearny, Sutter between Hyde and Kearny",,Destin Daniel Cretton,"Dave Callaham, Destin Daniel Cretton, Andrew Lanham",Simu Liu,Tony Chiu-Wai Leung,Awkwafina
1381,"Murder in the First, Season 1",2014,Dolores Park,,Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale
1382,Basic Instinct,1992,Kearney Street (Telegraph Hill),,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza
1383,The Game,1997,301 Howard Street,,David Fincher,John Brancato,Michael Douglas,Sean Penn,Deborah Kara Unger
1384,GirlBoss,2017,Green and Divisadero,,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon,Britt Robertson,Ellie Reed,Amanda Rea
1385,The Phone/Jexi,2019,1423 Golden Gate Ave,,"Jon Lucas, Scott Moore","Jon Lucas, Scott Moore",Adam Devine,Alexandra Shipp,Michael Pena
1386,Bitter Melon,2018,298 11th St,,H.P. Mendoza,H.P. Mendoza,Jon Norman Schneider,Patrick Epino,Brian Rivera
1387,Terminator - Genisys,2015,Construction Site in front of 260 Stockton St. at Post St.,,Alan Taylor,James Cameron,Arnold Schwarzenegger,Jason Clarke,
1388,Women is Losers,2020,Laguna Honda Hospital - 375 Laguna Honda Blvd.,,Lissette Feliciano,Lissette Feliciano,Lorenza Izzo,Simu Liu,Liza Weil
1389,The Dead Pool,1988,Pier 3 (The Embarcadero),,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,Patricia Clarkson
1390,Tales of the City,2019,North Beach,,"Alan Poul, Silas Howard, Stacie Passon","Armistead Maupin, Lauren Morelli, Hansol Jung, Marcus Gardley",Laura Linney,Ellen Page,Murray Bartlett
1391,Looking Season 2 ep 210,2015,"Willy's Barber shop, 3227 22nd Street",,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett
1392,San Andreas,2015,Mission between 3rd and 4th St.,,Brad Peyton,Allan Loeb,Dwayne Johnson,,
1393,San Andreas,2015,TransAmerica Pyramid (600 Montgomery Street),,Brad Peyton,Allan Loeb,Dwayne Johnson,,
1394,When a Man Loves a Woman,1994,Spring Valley School (1451 Jackson Street),,Luis Mandoki,Ronald Bass,Andy Garcia,Meg Ryan,
1395,Petulia,1968,2417 Franklin Street,,Richard Lester,Lawrence B. Marcus,Julie Christie,George C. Scott,Richard Chamberlain
1396,Joy Luck Club,1993,375 Laguna Honda Blvd.,,Wayne Wang,Amy Tan,Kieu Chinh,Tsai Chin,France Nuyen
1397,Big Eyes,2014,Saints Peter & Paul Church,,Tim Burton,Scott Alexander,Amy Adams,Krysten Ritter,Christoph Waltz
1398,Pushing Dead,2016,"Infield Batting Cages, 1888 Clement Street",,Tom Brown,Tom Brown,Danny Glover,James Roday,Robin Weigert
1399,High Crimes,2002,Vesuvio Café (255 Columbus Avenue),Jack Kerouac was a regular at the café.,Mel Brooks,Mel Brooks,Mel Brooks,Madeline Kahn,
1400,Doctor Dolittle,1998,Webster Street,,Betty Thomas,Nat Mauldin,Eddie Murphy,Ossie Davis,
1401,The Game,1997,Merchant Exchange Building (465 California Street),,David Fincher,John Brancato,Michael Douglas,Sean Penn,Deborah Kara Unger
1402,So I Married an Axe Murderer,1993,Rocco's Corner (Columbus Street),,Thomas Schlamme,Robbie Fox,Mike Myers,Nancy Travis,
1403,Shit and Champagne,2020,17th and Capp St,,D'Arcy Drollinger,D'Arcy Drollinger,D'Arcy Drollinger,Matthew Martin,Steven LeMay
1404,Chance- Season 1 ep109,2016,"Cliffhouse, 1090 Point Lobos Ave.",,Sara Gran and Pete Begler,Dan Attias,Hugh Laurie,Gretchen Mol,Ethan Suplee
1405,Red Widow,2013,Geary & 27th Ave,,Alon Aranya,Melissa Rosenberg,Radha Mitchell,Sterling Beaumon,Clifton Collins Jr.
1406,Surface,2022,Montgomery Street at Market,,"Sam Miller, Kevin Rodney Sullivan, Jennifer Morrison, Tucker Gates","Veronica West, Erica L. Anderson,Tony Saltzman, Glenise Mullins, Leigh Ann Biety, Dan Lee West, Leigh Ann Biety & Raven Jackson, Martín Zimmerman",Gugu Mbatha-Raw,Oliver Jackson-Cohen,Ari Graynor
1407,Thief of Hearts,1984,,,Douglas Day Stewart,Douglas Day Stewart,Steven Bauer,David Caruso,Barbara Williams
1408,The Enforcer,1976,Coit Tower,"The Tower was funded by a gift bequeathed by Lillie Hitchcock Coit, a socialite who reportedly liked to chase fires. Though the tower resembles a firehose nozzle, it was not designed this way.",James Fargo,Stirling Silliphant,Clint Eastwood,Tyne Daly,Harry Guardino
1409,Venom,2018,California St at Montgomery St,,Ruben Fleischer,"Jeff Pinkner, Scott Rosenberg",Tom Hardy,Michelle Wiliams,Riz Ahmed
1410,Steve Jobs,2015,Mission St and 5th St,,Danny Boyle,Aaron Sorkin,Michael Fassbender,Kate Winslet,Seth Rogen
1411,Looking Season 2 ep 205,2015,745 Treat Ave,,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett
1412,Tin Cup,1996,,,Ron Shelton,John Norville,Kevin Costner,Rene Russo,
1413,Magnum Force,1973,"Fairmont Hotel (950 Mason Street, Nob Hill)","In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room.",Ted Post,John Milius,Clint Eastwood,Hal Holbrook,Mitchell Ryan
1414,Basic Instinct,1992,"Steinhart Aquarium (California Academy of Sciences, Golden Gate Park)","The Steinhart Aquarium is home to over 38,000 animals, which represent more than 900 species.",Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza
1415,Days of Wine and Roses,1962,,,Blake Edwards,JP Miller,Jack Lemmon,Lee Remick,Charles Bickford
1416,Mona Lisa Smile,2003,,,Mike Newell,Lawrence Konner,Julia Roberts,Kirsten Dunst,
1417,Ballers Season 3,2017,"Another Café, 1191 Pine St at Leavenworth",,Julian Farino,Stephen Levinson,Dwayne Johnson,John David Washington,Omar Benson Miller
1418,Ant-Man,2015,Pine between Kearney and Davis,Driving shots,Peyton Reed,Gabriel Ferrari,Michael Douglas,Paul Rudd,
1419,Playing Mona Lisa,2000,Conservatory of Flowers (Golden Gate Park),"The Conservatory, unveiled in 1879, is the oldest public conservatory in the Western Hemisphere.",Matthew Huffman,Marni Freedman,Alicia Witt,Harvey Fierstein,
1420,Nash Bridges,2021,"Far East Café, 631 Grant Avenue",,Greg Beeman,"Carlton Cuse, Bill Chais",Don Johnson,Cheech Marin,Joe Dinicol
1421,Nine Months,1995,Montgomery & Vallejo Streets,,Chris Columbus,Chris Columbus,Hugh Grant,Julianne Moore,Robin Williams
1422,Fearless,1993,Varennes Alley between Filbert and Union,,Peter Weir,Rafael Yglesias,Jeff Bridges,Isabella Rosellini,Rosie Perez
1423,About a Boy,2014,Powell from Bush and Sutter,,Mark J. Kunerth,Jason Katims,David Walton,Minnie Driver,
1424,Birth of the Dragon,2016,California at Grant,,George Nolfi,"Christopher Wilkinson, Stephen J. Rivele",Philip Ng,Billy Magnussen,Yu Xia
1425,Chu Chu and the Philly Flash,1981,Transbay Terminal (Mission Street at 1st Street),"Built in 1939, the Terminal linked San Francisco, the East Bay, and Sacramento by rail for the first time.",David Lowell Rich,Barbara Dana,Alan Arkin,Carol Burnett,
1426,Good NeighborSam,1964,Various locations in San Francisco during driving scene,,David Swift,James Fritzell,Jack Lemmon,Romy Schneider,Dorothy Provine
1427,Pushing Dead,2016,"Matching Half Café, 1799 McAllister Street",,Tom Brown,Tom Brown,Danny Glover,James Roday,Robin Weigert
1428,Looking Season 2 ep 208,2015,2450 Harrison Street,,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett
1429,"Murder in the First, Season 1",2014,Hall of Justice (850 Bryant Street),,Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale
1430,The Matrix Resurrections,2021,"The Avery, 488 Folsom",,Lana Wachowski,"Lana Wachowski, David Mitchell, Aleksander Hemon",Keanu Reeves,Keanu Reeves,Neil Patrick Harris
1431,Sudden Impact,1983,Hall of Justice (850 Bryant Street),,Clint Eastwood,Harry Julian Fink,Clint Eastwood,Sondra Locke,Pat Hingle
1432,Woman on Top,2000,312 Fillmore Street,,Fina Torres,Vera Blasi,Penelope Cruz,,
1433,So I Married an Axe Murderer,1993,Café Picaro 3120 16th Street,,Thomas Schlamme,Robbie Fox,Mike Myers,Nancy Travis,
